symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,r_multiple,exit_reason
C,2024-10-15,2024-10-18,63.42,60.06,525,-1763.97,-0.53,trailing_stop
BMY,2024-09-26,2024-10-24,45.4,48.77,714,2402.54,0.74,time_exit
ACN,2024-09-27,2024-10-25,342.83,347.6,94,449.19,0.14,trailing_stop
BLK,2024-10-07,2024-10-25,917.97,945.08,35,948.81,0.29,trailing_stop
ABT,2024-10-21,2024-10-25,114.55,111.44,288,-895.33,-0.27,trailing_stop
AAPL,2024-10-21,2024-10-31,232.51,224.38,142,-1153.77,-0.35,trailing_stop
GD,2024-10-28,2024-10-31,293.08,283.04,114,-1144.42,-0.34,trailing_stop
CMCSA,2024-10-28,2024-11-05,36.23,36.91,929,630.59,0.19,trailing_stop
ABBV,2024-11-01,2024-11-11,192.9,185.33,172,-1303.22,-0.39,trailing_stop
BMY,2024-11-01,2024-11-15,51.49,51.69,645,123.61,0.04,trailing_stop
CRM,2024-11-06,2024-11-15,301.14,320.65,110,2146.01,0.64,trailing_stop
COF,2024-10-28,2024-11-19,157.75,177.78,213,4266.73,1.27,trailing_stop
BKNG,2024-10-25,2024-11-22,172.59,204.24,194,6139.07,1.83,time_exit
BRK-B,2024-11-18,2024-12-03,470.98,471.59,71,43.32,0.01,trailing_stop
FDX,2024-11-20,2024-12-03,228.43,226.68,150,-263.33,-0.08,trailing_stop
BAC,2024-11-12,2024-12-11,44.36,44.55,745,140.63,0.04,time_exit
BNY,2024-11-18,2024-12-11,75.48,76.47,444,439.02,0.13,trailing_stop
AXP,2024-11-25,2024-12-18,297.4,287.12,119,-1223.45,-0.34,trailing_stop
BLK,2024-12-04,2024-12-18,1000.89,993.79,35,-248.49,-0.07,trailing_stop
C,2024-12-04,2024-12-18,68.53,66.69,519,-955.61,-0.27,trailing_stop
AVGO,2024-12-12,2024-12-18,178.17,216.83,200,7731.17,2.17,trailing_stop
ACN,2024-12-20,2024-12-27,358.1,342.28,102,-1613.48,-0.44,trailing_stop
AAPL,2024-12-12,2025-01-02,245.11,246.51,145,202.51,0.06,trailing_stop
MA,2024-12-23,2025-01-06,520.27,508.2,70,-844.89,-0.23,trailing_stop
GILD,2024-12-23,2025-01-08,89.01,85.94,412,-1265.27,-0.34,trailing_stop
