symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,r_multiple,exit_reason
BNY,2025-07-16,2025-07-25,93.86,99.35,1012,5557.77,1.38,target
AXP,2025-06-27,2025-07-28,309.97,307.45,264,-665.83,-0.17,time_exit
AMT,2025-07-17,2025-07-29,214.52,207.0,575,-4326.91,-1.0,stop
MDLZ,2025-07-29,2025-07-30,67.24,64.89,1851,-4350.31,-1.0,stop
AVGO,2025-07-31,2025-08-01,300.6,285.29,272,-4162.88,-1.0,stop
GILD,2025-07-28,2025-08-06,110.51,107.93,1691,-4363.41,-1.0,stop
C,2025-07-17,2025-08-14,87.69,93.48,1164,6746.85,1.56,time_exit
BLK,2025-07-21,2025-08-18,1084.95,1112.8,88,2451.34,0.58,time_exit
ABBV,2025-07-30,2025-08-18,186.0,201.23,506,7707.16,1.81,target
AVGO,2025-08-07,2025-08-20,303.94,281.86,181,-3996.45,-1.0,stop
AMZN,2025-08-15,2025-08-21,232.58,220.68,348,-4139.58,-1.0,stop
AXP,2025-08-21,2025-08-29,303.54,327.34,448,10661.64,2.5,target
DUK,2025-08-04,2025-09-02,118.88,118.79,1134,-94.53,-0.02,time_exit
BA,2025-08-19,2025-09-11,232.0,221.48,412,-4334.6,-1.0,stop
ABBV,2025-08-19,2025-09-17,200.32,214.17,576,7977.78,1.84,time_exit
GM,2025-08-22,2025-09-22,56.53,58.5,1400,2750.03,0.66,time_exit
AXP,2025-09-02,2025-09-30,323.2,328.64,631,3433.77,0.78,time_exit
BAC,2025-09-03,2025-10-01,49.33,49.88,2750,1512.27,0.34,time_exit
ABBV,2025-09-18,2025-10-01,214.42,229.31,570,8490.51,1.9,target
GM,2025-09-23,2025-10-07,58.67,56.34,1944,-4519.39,-1.0,stop
ABT,2025-09-12,2025-10-10,128.84,129.58,1147,840.83,0.2,time_exit
BLK,2025-10-01,2025-10-22,1135.65,1108.35,168,-4587.37,-1.0,stop
CVS,2025-10-02,2025-10-28,74.0,81.51,1596,11987.87,2.5,target
AMGN,2025-10-02,2025-10-30,291.95,285.78,346,-2136.75,-0.45,time_exit
AMZN,2025-10-29,2025-10-31,231.67,249.57,386,6908.02,1.42,target
DUK,2025-10-13,2025-11-03,123.0,120.53,1905,-4715.26,-1.0,stop
GILD,2025-10-08,2025-11-05,114.93,120.3,761,4085.16,0.87,time_exit
CSCO,2025-11-04,2025-11-05,72.84,70.66,2230,-4863.65,-1.0,stop
MCD,2025-11-06,2025-11-10,298.74,290.84,614,-4849.73,-1.0,stop
AMZN,2025-11-03,2025-11-17,255.36,230.51,199,-4944.48,-1.0,stop
AXP,2025-10-23,2025-11-20,349.87,341.02,250,-2212.0,-0.48,time_exit
AAPL,2025-10-31,2025-12-01,275.97,282.33,310,1971.89,0.41,time_exit
FDX,2025-11-06,2025-12-05,203.7,218.19,500,7242.74,1.49,time_exit
AMGN,2025-11-11,2025-12-10,316.53,310.86,323,-1830.52,-0.39,time_exit
AVGO,2025-12-11,2025-12-12,402.57,380.76,218,-4754.56,-1.0,stop
AAPL,2025-12-02,2025-12-16,282.23,271.21,421,-4638.13,-1.0,stop
DHR,2025-11-18,2025-12-17,217.92,221.39,465,1613.82,0.35,time_exit
FDX,2025-12-18,2025-12-19,226.38,217.08,494,-4595.17,-1.0,stop
GOOGL,2025-11-21,2025-12-22,295.84,309.38,170,2301.15,0.5,time_exit
C,2025-12-08,2025-12-23,107.58,117.56,877,8757.01,1.83,target
GD,2025-12-24,2026-01-08,339.06,362.5,420,9845.76,2.08,target
AXP,2025-12-17,2026-01-12,378.47,361.72,272,-4555.69,-1.0,stop
COF,2025-12-22,2026-01-12,243.02,231.16,380,-4508.86,-1.0,stop
BAC,2025-12-15,2026-01-14,54.81,52.6,2106,-4660.68,-1.0,stop
BNY,2025-12-23,2026-01-15,115.76,123.93,1140,9311.84,2.04,target
AMZN,2026-01-09,2026-01-20,244.57,235.75,558,-4920.86,-1.0,stop
BLK,2026-01-16,2026-01-20,1146.62,1095.56,94,-4799.83,-0.99,stop
AMD,2026-01-15,2026-01-23,227.9,259.99,206,6610.52,1.42,target
DUK,2026-01-21,2026-01-23,118.15,114.45,1254,-4642.75,-1.0,stop
CVS,2026-01-13,2026-01-27,78.52,75.22,1435,-4743.5,-1.0,stop
DHR,2026-01-13,2026-01-28,238.99,229.29,489,-4746.51,-1.0,stop
KO,2026-01-26,2026-02-03,71.9,75.94,2352,9504.79,2.03,target
AMZN,2026-01-29,2026-02-04,242.82,232.06,417,-4488.67,-1.0,stop
AMGN,2026-01-28,2026-02-06,344.0,376.42,359,11637.87,2.54,target
GEV,2026-01-21,2026-02-09,685.47,797.39,80,8953.92,1.93,target
EMR,2026-01-26,2026-02-09,147.13,159.73,649,8178.29,1.75,target
BAC,2026-02-09,2026-02-11,55.78,53.65,2265,-4826.81,-1.0,stop
AAPL,2026-02-04,2026-02-13,271.55,257.19,326,-4681.57,-1.0,stop
MDT,2026-02-10,2026-02-17,99.88,95.87,1291,-5168.4,-1.0,stop
BMY,2026-02-05,2026-02-27,57.66,61.04,1280,4335.27,0.94,target
NVDA,2026-02-10,2026-02-27,191.15,176.43,351,-5165.24,-1.0,stop
BRK-B,2026-03-02,2026-03-03,495.23,490.15,957,-4859.48,-1.0,stop
BMY,2026-03-02,2026-03-06,61.04,58.5,1908,-4858.74,-1.0,stop
MCD,2026-02-12,2026-03-13,325.79,324.26,314,-479.6,-0.09,time_exit
ABBV,2026-02-17,2026-03-17,229.11,216.41,363,-4611.35,-0.93,time_exit
GD,2026-03-04,2026-03-19,362.71,344.03,254,-4745.56,-1.0,stop
BRK-B,2026-03-09,2026-03-19,494.9,480.46,323,-4664.7,-1.0,stop
JNJ,2026-02-23,2026-03-23,240.96,234.07,565,-3888.4,-0.8,time_exit
MU,2026-03-16,2026-03-25,445.9,375.98,66,-4615.24,-0.99,stop
AMD,2026-03-26,2026-03-27,217.98,201.42,253,-4190.82,-1.0,stop
INTC,2026-03-26,2026-03-30,46.3,42.04,988,-4205.2,-1.0,stop
T,2026-03-24,2026-04-08,28.13,26.79,3216,-4297.34,-1.0,stop
BNY,2026-04-01,2026-04-14,119.38,129.2,542,5320.93,1.32,target
PFE,2026-03-18,2026-04-16,26.24,26.32,4899,378.93,0.08,time_exit
GEV,2026-03-20,2026-04-20,877.32,989.67,60,6741.15,1.54,time_exit
COST,2026-03-31,2026-04-29,993.98,995.64,113,188.14,0.05,time_exit
